date,weather,temp_high
2022-07-01,Rain,32.7
2022-07-02,Rain,34.4
2022-07-03,Rain,33.6
2022-07-04,Rain,33.5
2022-07-05,Rain,31.7
2022-07-06,Rain,34.3
2022-07-07,Rain,35.6
2022-07-08,Rain,31.9
2022-07-09,Rain,31.2
2022-07-10,Rain,34.4
2022-07-11,Rain,30
2022-07-12,Rain,28.7
2022-07-13,Rain,26.4
2022-07-14,Rain,29.5
2022-07-15,Clouds,30.6
2022-07-16,Rain,28.9
2022-07-17,Rain,29.5
2022-07-18,Rain,24.4
2022-07-19,Rain,29
2022-07-20,Rain,31.1
2022-07-21,Rain,27.3
2022-07-22,Rain,29.1
2022-07-23,Rain,28.5
2022-07-24,Rain,28.7
2022-07-25,Rain,31.6
2022-07-26,Rain,32.1
2022-07-27,Rain,32.5
2022-07-28,Rain,33.4
2022-07-29,Rain,33.5
2022-07-30,Rain,31.8
2022-07-31,Rain,29
2022-08-01,Rain,32
2022-08-02,Rain,30.5
2022-08-03,Rain,31.7
2022-08-04,Rain,31.2
2022-08-05,Rain,31.7
2022-08-06,Rain,32.4
2022-08-07,Rain,33
2022-08-08,Rain,31.4
2022-08-09,Rain,29.8
2022-08-10,Rain,27.5
2022-08-11,Rain,26.1
2022-08-12,Rain,31.5
2022-08-13,Rain,30
2022-08-14,Rain,29.8
2022-08-15,Rain,31.3
2022-08-16,Rain,29.2
2022-08-17,Rain,29.5
2022-08-18,Clouds,29.8
2022-08-19,Rain,29.4
2022-08-20,Rain,31
2022-08-21,Clouds,31.1
2022-08-22,Rain,30.4
2022-08-23,Rain,26.4
2022-08-24,Rain,25.6
2022-08-25,Rain,27.1
2022-08-26,Clouds,26.7
2022-08-27,Rain,23.8
2022-08-28,Clouds,26.7
2022-08-29,Rain,22.1
2022-08-30,Rain,22.2
2022-08-31,Rain,24.2
2022-09-01,Clouds,26.6
2022-09-02,Rain,25.9
2022-09-03,Clouds,25.8
2022-09-04,Rain,29.3
2022-09-05,Rain,25.9
2022-09-06,Rain,25.7
2022-09-07,Clouds,26.5
2022-09-08,Clouds,27.6
2022-09-09,Clouds,26.9
2022-09-10,Clouds,25.2
2022-09-11,Rain,27.5
2022-09-12,Rain,24.2
2022-09-13,Rain,27.1
2022-09-14,Clouds,27.6
2022-09-15,Clouds,29.4
2022-09-16,Rain,31.6
2022-09-17,Rain,30.2
2022-09-18,Rain,31.6
2022-09-19,Clouds,28.3
2022-09-20,Clouds,22.8
2022-09-21,Clear,22.8
2022-09-22,Clouds,22.8
2022-09-23,Rain,23.5
2022-09-24,Clouds,22.2
2022-09-25,Clouds,23
2022-09-26,Clouds,23.2
2022-09-27,Clouds,25.6
2022-09-28,Clouds,24.8
2022-09-29,Clouds,24.5
2022-09-30,Clouds,26.8
2022-10-01,Clouds,26.7
